nfile,length,label,reliability
slice_001.wav,20,1,1
slice_002.wav,7,1,1
slice_003.wav,28,2,2
slice_004.wav,18,2,2
slice_005.wav,16,2,2
slice_006.wav,16,2,2
slice_007.wav,17,2,2
slice_008.wav,18,2,2
slice_009.wav,24,2,2
slice_010.wav,14,2,2
slice_011.wav,19,2,2
slice_012.wav,18,2,2
slice_013.wav,18,2,2
slice_014.wav,13,2,2
slice_015.wav,35,3,2
slice_016.wav,21,2,2
slice_017.wav,18,2,2
slice_018.wav,12,2,2
slice_019.wav,13,2,2
slice_020.wav,14,2,2
slice_021.wav,17,2,2
slice_022.wav,15,2,2
slice_023.wav,14,2,2
slice_024.wav,19,1,1
slice_025.wav,43,2,2
slice_026.wav,18,2,2
slice_027.wav,20,2,2
slice_028.wav,25,2,2
slice_029.wav,16,2,2
slice_030.wav,21,2,2
slice_031.wav,36,2,2
slice_032.wav,22,2,2
slice_033.wav,34,2,2
slice_034.wav,24,2,2
slice_035.wav,21,2,2
slice_036.wav,22,2,2
slice_037.wav,28,2,2
slice_038.wav,12,2,2
slice_039.wav,23,2,2
slice_040.wav,22,2,2
slice_041.wav,22,2,2
slice_042.wav,38,2,2
slice_043.wav,23,2,2
slice_044.wav,39,2,2
slice_045.wav,21,2,2
slice_046.wav,26,2,2
slice_047.wav,14,2,2
slice_048.wav,17,1,1
slice_049.wav,30,2,2
slice_050.wav,17,1,1
slice_051.wav,18,2,2
slice_052.wav,13,2,2
slice_053.wav,26,2,2
slice_054.wav,38,2,2
slice_055.wav,18,2,2
slice_056.wav,11,2,2
slice_057.wav,14,2,2
slice_058.wav,17,2,2
slice_059.wav,19,2,2
slice_060.wav,12,2,2
slice_061.wav,19,2,2
slice_062.wav,19,2,2
slice_063.wav,16,2,3
slice_064.wav,19,2,2
slice_065.wav,26,2,2
slice_066.wav,16,2,2
slice_067.wav,13,1,1
slice_068.wav,20,2,2
slice_069.wav,23,2,2
slice_070.wav,29,2,2
slice_071.wav,20,2,2
slice_072.wav,20,2,2
slice_073.wav,23,2,2
slice_074.wav,27,2,2
slice_075.wav,21,2,2
slice_076.wav,28,2,2
slice_077.wav,17,2,2
slice_078.wav,24,2,3
slice_079.wav,20,2,3
slice_080.wav,21,2,2
slice_081.wav,66,2,2
slice_082.wav,17,2,2
slice_083.wav,25,2,2
slice_084.wav,14,2,2
slice_085.wav,27,2,2
slice_086.wav,19,2,2
slice_087.wav,17,2,2
slice_088.wav,18,2,3
slice_089.wav,35,1,2
slice_090.wav,20,2,2
slice_091.wav,18,2,2
slice_092.wav,17,2,2
slice_093.wav,14,2,2
slice_094.wav,16,2,2
slice_095.wav,11,2,2
slice_096.wav,22,2,2
slice_097.wav,21,2,2
slice_098.wav,12,2,2
slice_099.wav,16,2,2
slice_100.wav,30,2,2
slice_101.wav,16,2,2
slice_102.wav,33,2,2
slice_103.wav,13,2,2
slice_104.wav,31,2,2
slice_105.wav,15,2,2
slice_106.wav,12,2,2
slice_107.wav,13,2,2
slice_108.wav,14,2,2
slice_109.wav,17,2,2
slice_110.wav,14,2,2
slice_111.wav,16,2,2
slice_112.wav,34,2,2
slice_113.wav,43,2,2
slice_114.wav,24,2,2
slice_115.wav,17,2,2
slice_116.wav,18,2,2
slice_117.wav,15,2,2
slice_118.wav,16,2,2
slice_119.wav,13,2,2
slice_120.wav,17,2,2
slice_121.wav,24,2,2
slice_122.wav,23,2,3
slice_123.wav,20,2,2
slice_124.wav,23,2,2
slice_125.wav,28,2,3
slice_126.wav,19,2,1
slice_127.wav,6,1,1
slice_128.wav,22,2,2
slice_129.wav,12,2,1
slice_130.wav,12,2,2
slice_131.wav,13,2,2
slice_132.wav,17,2,2
slice_133.wav,13,1,1
slice_134.wav,10,2,2
slice_135.wav,9,3,2
slice_136.wav,8,3,2
slice_137.wav,13,4,1
slice_138.wav,14,3,2
slice_139.wav,17,2,3
slice_140.wav,12,3,2
slice_141.wav,19,3,2
slice_142.wav,10,3,2
slice_143.wav,20,3,3
slice_144.wav,20,3,1
slice_145.wav,10,3,2
slice_146.wav,12,3,1
slice_147.wav,23,3,2
slice_148.wav,9,3,1
slice_149.wav,16,3,3
slice_150.wav,20,3,3
slice_151.wav,7,1,1
slice_152.wav,27,2,2
slice_153.wav,12,2,2
slice_154.wav,16,3,3
slice_155.wav,16,1,1
slice_156.wav,10,1,1
slice_157.wav,25,4,2
slice_158.wav,16,4,2
slice_159.wav,27,4,1
slice_160.wav,34,4,1
slice_161.wav,9,1,3
slice_162.wav,29,4,1
slice_163.wav,14,4,1
slice_164.wav,19,4,2
slice_165.wav,18,4,2
slice_166.wav,13,4,2
slice_167.wav,12,3,2
slice_168.wav,10,3,2
slice_169.wav,9,3,3
slice_170.wav,16,3,3
slice_171.wav,13,3,3
slice_172.wav,10,3,3
slice_173.wav,7,3,2
slice_174.wav,12,3,3
slice_175.wav,19,3,3
slice_176.wav,7,3,3
slice_177.wav,13,3,2
slice_178.wav,28,1,2
slice_179.wav,9,3,1
