Start,End,Label,Reliability
00:09:58,00:10:18,1,1
00:11:32,00:11:39,1,1
00:29:32,00:30:00,2,2
00:30:33,00:30:51,2,2
00:31:05,00:31:21,2,2
00:31:32,00:31:48,2,2
00:32:14,00:32:31,2,2
00:32:50,00:33:08,2,2
00:33:32,00:33:56,2,2
00:34:15,00:34:29,2,2
00:34:37,00:34:56,2,2
00:36:11,00:36:29,2,2
00:38:34,00:38:52,2,2
00:39:18,00:39:31,2,2
00:39:42,00:40:17,2,2
00:44:14,00:44:35,2,2
00:44:45,00:45:03,2,2
00:45:07,00:45:19,2,2
00:45:42,00:45:55,2,2
00:50:09,00:50:23,2,2
00:51:51,00:52:08,2,2
00:57:57,00:58:12,2,2
00:58:32,00:58:46,2,2
00:59:04,00:59:23,1,1
01:00:52,01:01:35,2,2
01:02:22,01:02:40,2,2
01:02:55,01:03:15,2,2
01:06:47,01:07:12,2,2
01:07:43,01:07:59,2,2
01:10:41,01:11:02,2,2
01:11:20,01:11:56,2,2
01:12:39,01:13:01,2,2
01:13:09,01:13:43,2,2
01:14:21,01:14:45,2,2
01:15:51,01:16:12,2,2
01:17:33,01:17:55,2,2
01:19:03,01:19:31,2,2
01:19:43,01:19:55,2,2
01:21:46,01:22:09,2,2
01:22:56,01:23:18,2,2
01:23:34,01:23:56,2,2
01:24:13,01:24:51,2,2
01:25:24,01:25:47,2,2
01:25:56,01:26:35,2,2
01:27:15,01:27:36,2,2
01:27:53,01:28:19,2,2
01:28:35,01:28:49,2,2
01:30:20,01:30:37,1,1
01:31:00,01:31:30,2,2
01:34:45,01:35:02,1,1
01:36:53,01:37:11,2,2
01:37:54,01:38:07,2,2
01:38:35,01:39:01,2,2
01:39:09,01:39:47,2,2
01:40:06,01:40:24,2,2
01:40:28,01:40:39,2,2
01:40:47,01:41:01,2,2
01:42:21,01:42:38,2,2
01:43:55,01:44:14,2,2
01:44:14,01:44:26,2,2
01:44:39,01:44:58,2,2
01:49:30,01:49:49,2,2
01:50:48,01:51:04,2,3
01:56:46,01:57:05,2,2
01:59:09,01:59:35,2,2
02:00:04,02:00:20,2,2
02:01:14,02:01:27,1,1
02:09:32,02:09:52,2,2
02:10:29,02:10:52,2,2
02:11:53,02:12:22,2,2
02:15:39,02:15:59,2,2
02:18:51,02:19:11,2,2
02:19:23,02:19:46,2,2
02:20:18,02:20:45,2,2
02:21:38,02:21:59,2,2
02:22:58,02:23:26,2,2
02:23:57,02:24:14,2,2
02:30:03,02:30:27,2,3
02:30:57,02:31:17,2,3
02:31:37,02:31:58,2,2
02:32:23,02:33:29,2,2
02:34:12,02:34:29,2,2
02:36:23,02:36:48,2,2
02:37:45,02:37:59,2,2
02:38:07,02:38:34,2,2
02:42:04,02:42:23,2,2
02:44:31,02:44:48,2,2
02:45:45,02:46:03,2,3
02:47:27,02:48:02,1,2
02:49:38,02:49:58,2,2
02:50:30,02:50:48,2,2
02:51:26,02:51:43,2,2
02:52:27,02:52:41,2,2
02:58:48,02:59:04,2,2
03:00:26,03:00:37,2,2
03:02:30,03:02:52,2,2
03:05:10,03:05:31,2,2
03:05:47,03:05:59,2,2
03:06:21,03:06:37,2,2
03:07:07,03:07:37,2,2
03:08:06,03:08:22,2,2
03:10:49,03:11:22,2,2
03:12:26,03:12:39,2,2
03:14:47,03:15:18,2,2
03:19:47,03:20:02,2,2
03:20:28,03:20:40,2,2
03:23:03,03:23:16,2,2
03:23:26,03:23:40,2,2
03:24:08,03:24:25,2,2
03:24:54,03:25:08,2,2
03:26:34,03:26:50,2,2
03:27:35,03:28:09,2,2
03:29:05,03:29:48,2,2
03:30:46,03:31:10,2,2
03:31:28,03:31:45,2,2
03:34:22,03:34:40,2,2
03:35:55,03:36:10,2,2
03:37:34,03:37:50,2,2
03:38:37,03:38:50,2,2
03:40:15,03:40:32,2,2
03:42:15,03:42:39,2,2
03:43:38,03:44:01,2,3
03:44:58,03:45:18,2,2
03:46:36,03:46:59,2,2
03:47:15,03:47:43,2,3
03:50:55,03:51:14,2,1
03:55:01,03:55:07,1,1
03:56:21,03:56:43,2,2
03:56:56,03:57:08,2,1
03:57:50,03:58:02,2,2
04:00:47,04:01:00,2,2
04:01:50,04:02:07,2,2
04:04:25,04:04:38,1,1
04:04:38,04:04:48,2,2
04:14:07,04:14:16,2,2
04:39:09,04:39:17,2,2
04:42:01,04:42:14,2,1
04:52:18,04:52:32,2,2
04:55:47,04:56:04,2,3
05:01:21,05:01:33,2,2
05:22:29,05:22:48,2,2
05:26:57,05:27:07,2,2
05:58:14,05:58:34,2,3
06:45:41,06:46:01,2,1
06:48:47,06:48:57,2,2
06:50:27,06:50:39,2,1
06:58:56,06:59:19,2,2
07:08:03,07:08:12,2,1
07:10:48,07:11:04,2,3
07:33:41,07:34:01,2,3
07:49:35,07:49:42,1,1
08:41:23,08:41:50,2,2
08:42:07,08:42:19,2,2
08:47:43,08:47:59,2,3
08:55:20,08:55:36,1,1
08:59:40,08:59:50,1,1
09:13:56,09:14:21,2,2
09:24:13,09:24:29,2,2
09:25:16,09:25:43,2,1
09:35:43,09:36:17,2,1
09:54:01,09:54:10,1,3
10:02:02,10:02:31,2,1
10:04:28,10:04:42,2,1
10:07:53,10:08:12,2,2
10:11:59,10:12:17,2,2
10:17:27,10:17:40,2,2
10:30:49,10:31:01,2,2
10:51:14,10:51:24,2,2
11:05:39,11:05:48,2,3
11:05:56,11:06:12,2,3
11:10:28,11:10:41,2,3
11:18:33,11:18:43,2,3
11:29:22,11:29:29,2,2
11:34:03,11:34:15,2,3
11:37:12,11:37:31,2,3
11:46:46,11:46:53,2,3
11:54:55,11:55:08,2,2
12:07:13,12:07:41,1,2
12:17:59,12:18:08,2,1
